"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","45","50","6","73.509850","1","50"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/Game/Laboratory/Materials/M_SHIT_2.M_SHIT_2","0","3","3","1","18.445393","0","3"
"/Game/Laboratory/Materials/M_Shkaf_Low_1001_BaseColor_Mat.M_Shkaf_Low_1001_BaseColor_Mat","0","3","3","1","12.054879","0","3"
"/Game/Laboratory/Materials/M_Shkaf_Low_101_BaseColor_Mat.M_Shkaf_Low_101_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_BIG_1001_BaseColor_Mat.M_BIG_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_VOda_1001_BaseColor_Mat.M_VOda_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_vikl_1001_BaseColor_Mat.M_vikl_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Pincet_1001_BaseColor_Mat.M_Pincet_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_TOXIN_1001_BaseColor_Mat.M_TOXIN_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_K_1001_BaseColor_Mat.M_K_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Shwabra_1001_BaseColor_Mat.M_Shwabra_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Open_tool_1001_BaseColor_Mat.M_Open_tool_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_MOTOR_1001_BaseColor_Mat.M_MOTOR_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_MIni_Stolik_1001_BaseColor_Mat.M_MIni_Stolik_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Box2_1001_BaseColor_Mat.M_Box2_1001_BaseColor_Mat","0","4","5","1","19.722500","0","5"
"/Game/Laboratory/Materials/M_1_1001_BaseColor_Mat.M_1_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_BED_1001_BaseColor_Mat.M_BED_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Acid_1001_BaseColor_Mat.M_Acid_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Holographic/M_Holographic1.M_Holographic1","0","20","24","1","108.805122","0","24"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/Game/Laboratory/Materials/M_MICROSCOPE_1001_BaseColor_Mat.M_MICROSCOPE_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Kru_1001_BaseColor_Mat.M_Kru_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Box_1001_BaseColor_Mat.M_Box_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Krutilka_1001_BaseColor_Mat.M_Krutilka_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_NETBOOOK_1001_BaseColor_Mat.M_NETBOOOK_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Svet_2_1001_BaseColor_Mat.M_Svet_2_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_Svet_1001_BaseColor_Mat.M_Svet_1001_BaseColor_Mat","0","3","3","1","18.642752","0","3"
"/Game/Laboratory/Materials/M_lestnica_1001_BaseColor_Mat.M_lestnica_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_2_1001_BaseColor_Mat.M_2_1001_BaseColor_Mat","0","3","3","1","0.000000","0","3"
"/Game/Laboratory/Materials/M_ZAbor_1001_BaseColor_Mat.M_ZAbor_1001_BaseColor_Mat","0","3","3","1","11.717746","0","3"
